id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
42322,Women,Apparel,Saree,Sarees,Maroon,Summer,2012.0,Ethnic,Prafful Maroon Georgette Printed Saree
2334,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Reebok Men Shiamak Dance Black T-shirt
53803,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Puma Men Red T-shirt
3351,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Myntra Men's Black Letter Equals White T-shirt
50550,Men,Apparel,Innerwear,Boxers,Blue,Winter,2016.0,Casual,Chromozome Men Pack of 2 Assorted Boxers
52779,Women,Accessories,Wallets,Wallets,Red,Fall,2012.0,Casual,Fiorelli Women Red Wallet
48552,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Wrangler Men Black Square Ring Canvas Belt
1543,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,Puma Men Basket-Biz Sneaker
52970,Women,Apparel,Saree,Sarees,Multi,Fall,2012.0,Ethnic,FNF Multi Coloured Sari
25395,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Levis Men White Innerwear T-shirt
25040,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Sports,Nike Men Sublimated Grey Jersey
17611,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Doodle  Fairy Girl Pink Tshirt
17946,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011.0,Sports,Puma Men South Africa  Navy Blue Track Pant
22738,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011.0,Casual,Nike Unisex Black Backpack
50750,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2018.0,Casual,Red Chief Men Brown Shoes
3974,Women,Apparel,Topwear,Tops,Blue,Summer,2011.0,Casual,Jealous 21 Women Blue Tunic With Butterfly Top
52299,Men,Apparel,Innerwear,Boxers,Red,Summer,2016.0,Casual,Crusoe Men Red Printed Get Away Boxers R09
48341,Women,Accessories,Jewellery,Necklace and Chains,Gold,Fall,2012.0,Casual,Pitaraa Golden Fish Scale Necklace
30913,Women,Apparel,Topwear,Kurtis,Blue,Summer,2012.0,Ethnic,Fabindia Women Blue Kurti
20230,Women,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,Wrangler Women Fluro Grey Sweater
25293,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Lino Perros Women Small Brown Handbag
13901,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Nike Men Sweet Classic High Black Casual Shoes
3451,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,ADIDAS Men's Delhi Daredevils Graphic White T-shirt
52339,Women,Accessories,Bags,Clutches,Black,Winter,2016.0,Casual,ToniQ Women Black Lace Clutch
19897,Men,Accessories,Wallets,Wallets,Tan,Summer,2011.0,Casual,Lee Men Leather Tan Wallet
21134,Women,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,s.Oliver Women Solid Grey Sweater
